program	section	dist01	fit
P-epi	TLS_VISIUM_USZ::LC3	0.328	0.2345
P-epi	TLS_VISIUM_USZ::LC3	0.422	0.0796
P-epi	TLS_VISIUM_USZ::LC3	0.516	0.1077
P-epi	TLS_VISIUM_USZ::LC3	0.609	0.146
P-epi	TLS_VISIUM_USZ::LC3	0.703	0.1344
P-stromal	TLS_VISIUM_USZ::LC3	0.328	2.6605
P-stromal	TLS_VISIUM_USZ::LC3	0.422	1.6319
P-stromal	TLS_VISIUM_USZ::LC3	0.516	1.883
P-stromal	TLS_VISIUM_USZ::LC3	0.609	2.1491
P-stromal	TLS_VISIUM_USZ::LC3	0.703	2.0094
P-epi	TLS_VISIUM_USZ::KC3	0.234	0.3358
P-epi	TLS_VISIUM_USZ::KC3	0.328	0.3422
P-epi	TLS_VISIUM_USZ::KC3	0.422	0.3431
P-epi	TLS_VISIUM_USZ::KC3	0.516	0.3301
P-epi	TLS_VISIUM_USZ::KC3	0.609	0.3178
P-epi	TLS_VISIUM_USZ::KC3	0.703	0.3185
P-stromal	TLS_VISIUM_USZ::KC3	0.234	2.1022
P-stromal	TLS_VISIUM_USZ::KC3	0.328	2.0182
P-stromal	TLS_VISIUM_USZ::KC3	0.422	2.0215
P-stromal	TLS_VISIUM_USZ::KC3	0.516	2.0793
P-stromal	TLS_VISIUM_USZ::KC3	0.609	2.149
P-stromal	TLS_VISIUM_USZ::KC3	0.703	2.201
P-epi	TLS_VISIUM_USZ::LC2	0.141	1.395
P-epi	TLS_VISIUM_USZ::LC2	0.234	1.7659
P-epi	TLS_VISIUM_USZ::LC2	0.328	1.7469
P-epi	TLS_VISIUM_USZ::LC2	0.422	1.5655
P-epi	TLS_VISIUM_USZ::LC2	0.516	1.3982
P-epi	TLS_VISIUM_USZ::LC2	0.609	1.3068
P-stromal	TLS_VISIUM_USZ::LC2	0.141	1.7709
P-stromal	TLS_VISIUM_USZ::LC2	0.234	2.0829
P-stromal	TLS_VISIUM_USZ::LC2	0.328	2.434
P-stromal	TLS_VISIUM_USZ::LC2	0.422	2.4351
P-stromal	TLS_VISIUM_USZ::LC2	0.516	2.3435
P-stromal	TLS_VISIUM_USZ::LC2	0.609	2.2679
P-epi	TLS_VISIUM_USZ::LC1	0.141	0.1314
P-epi	TLS_VISIUM_USZ::LC1	0.234	0.1953
P-epi	TLS_VISIUM_USZ::LC1	0.328	0.1916
P-epi	TLS_VISIUM_USZ::LC1	0.422	0.1524
P-epi	TLS_VISIUM_USZ::LC1	0.516	0.1096
P-epi	TLS_VISIUM_USZ::LC1	0.609	0.0949
P-epi	TLS_VISIUM_USZ::LC1	0.703	0.1127
P-stromal	TLS_VISIUM_USZ::LC1	0.141	0.2596
P-stromal	TLS_VISIUM_USZ::LC1	0.234	0.4125
P-stromal	TLS_VISIUM_USZ::LC1	0.328	0.424
P-stromal	TLS_VISIUM_USZ::LC1	0.422	0.3567
P-stromal	TLS_VISIUM_USZ::LC1	0.516	0.2729
P-stromal	TLS_VISIUM_USZ::LC1	0.609	0.2344
P-stromal	TLS_VISIUM_USZ::LC1	0.703	0.2524
P-epi	TLS_VISIUM_USZ::KC1	0.234	0.1133
P-epi	TLS_VISIUM_USZ::KC1	0.328	0.1088
P-epi	TLS_VISIUM_USZ::KC1	0.422	0.1076
P-epi	TLS_VISIUM_USZ::KC1	0.516	0.1052
P-epi	TLS_VISIUM_USZ::KC1	0.609	0.0983
P-epi	TLS_VISIUM_USZ::KC1	0.703	0.0931
P-stromal	TLS_VISIUM_USZ::KC1	0.234	0.722
P-stromal	TLS_VISIUM_USZ::KC1	0.328	0.9551
P-stromal	TLS_VISIUM_USZ::KC1	0.422	0.9051
P-stromal	TLS_VISIUM_USZ::KC1	0.516	0.7474
P-stromal	TLS_VISIUM_USZ::KC1	0.609	0.6389
P-stromal	TLS_VISIUM_USZ::KC1	0.703	0.5986
P-epi	TLS_VISIUM_USZ::LC5	0.234	0.5666
P-epi	TLS_VISIUM_USZ::LC5	0.328	0.8152
P-epi	TLS_VISIUM_USZ::LC5	0.422	0.9987
P-epi	TLS_VISIUM_USZ::LC5	0.516	1.022
P-epi	TLS_VISIUM_USZ::LC5	0.609	0.984
P-stromal	TLS_VISIUM_USZ::LC5	0.234	1.1377
P-stromal	TLS_VISIUM_USZ::LC5	0.328	1.4027
P-stromal	TLS_VISIUM_USZ::LC5	0.422	1.7297
P-stromal	TLS_VISIUM_USZ::LC5	0.516	1.6625
P-stromal	TLS_VISIUM_USZ::LC5	0.609	1.3917
P-epi	TLS_VISIUM_USZ::KC2	0.328	0.061
P-epi	TLS_VISIUM_USZ::KC2	0.422	0.0481
P-epi	TLS_VISIUM_USZ::KC2	0.516	0.0782
P-epi	TLS_VISIUM_USZ::KC2	0.609	0.0989
P-epi	TLS_VISIUM_USZ::KC2	0.703	0.1442
P-stromal	TLS_VISIUM_USZ::KC2	0.328	0.2314
P-stromal	TLS_VISIUM_USZ::KC2	0.422	0.2271
P-stromal	TLS_VISIUM_USZ::KC2	0.516	0.2704
P-stromal	TLS_VISIUM_USZ::KC2	0.609	0.302
P-stromal	TLS_VISIUM_USZ::KC2	0.703	0.3387
P-epi	TLS_VISIUM_USZ::LC4	0.141	0.4587
P-epi	TLS_VISIUM_USZ::LC4	0.234	0.1228
P-epi	TLS_VISIUM_USZ::LC4	0.328	0.1715
P-epi	TLS_VISIUM_USZ::LC4	0.422	0.1813
P-epi	TLS_VISIUM_USZ::LC4	0.516	0.2288
P-stromal	TLS_VISIUM_USZ::LC4	0.141	0.7493
P-stromal	TLS_VISIUM_USZ::LC4	0.234	0.3504
P-stromal	TLS_VISIUM_USZ::LC4	0.328	0.4597
P-stromal	TLS_VISIUM_USZ::LC4	0.422	0.4241
P-stromal	TLS_VISIUM_USZ::LC4	0.516	0.4486
